Name,Ingredients,Garnish,Preparation
bermuda highball,"1 oz chateau de montifaud cognac vsop, 1 oz plymouth gin, 1 oz contratto bianco vermouth, 2 dash regans' orange bitters no. 6, 3 oz club soda",orange peel,add spirits and bitters to collins glass. add large ice cubes and fill with club soda. garnish with orange peel (or lemon peel).
lux cherry sparkler,"1 oz luxardo sangue morlacco cherry liqueur, 4 oz prosecco",luxardo cherry,"add the cherry liqueur to a flute, top with prosecco, and garnish with a luxardo maraschino cherry."
french maid,"1.5 oz h by hine, 1 oz house ginger beer, .75 oz lime juice, .75 oz simple syrup, .25 oz john d. taylor's velvet falernum, 3  cucumber wheels, 8  mint leaves, 1  mint sprig","fresh mint sprig, cucumber wheel","add the cucumber, mint and simple syrup to a mixing glass and muddle. add everything else, then shake with ice and strain into a collins glass filled with ice. garnish with a mint sprig poking through a cucumber wheel."
karlsson's mule,"1.5 oz karlsson's gold vodka, .25 oz lime juice , 3 oz ginger beer",lime wheel,"add vodka and lime juice to drinking glass, add ice, and top with ginger beer. garnish with a lime."
creek ran dry,"1 oz pear brandy, 1 oz dry vermouth, .5 oz chateau de montifaud pineau des charentes blanc, .5 oz dolin genepy",orange twist,"barrel aged for 5 months in a used bourbon barrel.

stir with ice and strain into a small coupe. garnish with an orange twist."
mandrake,"1.5 oz barsol primero quebranta pisco, 1 oz barsol perfecto amor (aperitif wine), .25 oz leopold bros. bitter, .25 oz velvet falernum,   red hawaiian salt",orange twist,"barrel aged in a used bourbon barrel that previously held a cocktail containing hine cognac and luxardo bitter.

stir with ice and strain into a small coupe. garnish with an orange twist."
redondo beach,"1.5 oz chinaco blanco tequila, .25 oz f. meyer mirabelle (yellow plum), .5 oz fino sherry, .75 oz the genuine curacao liqueur blue, 2 oz horchata, .5 oz simple syrup (2:1), .5 oz lime juice",parasol,blend with ice.
the tahoe toddy,"2 oz hot water, 2 oz glenrothes, 1 oz king's ginger liqueur, 1 dash honey",lemon slice,"boil water in a tea kettle.

squeeze lemon slice into the mug. insert whole cloves into the lemon slice and drop it into the mug."
pink ribbon,"1 cube brown sugar, soaked in peychaud's bitters, .75 oz pink pigeon rum,  fill champagne",lemon twist,brown sugar cube soaked in peychaud’s bitters. put soaked sugar cube in glass first. pour .75 oz pink pigeon rum into flute over sugar cube. fill remainder of the glass with champagne. garnish with lemon twist.
short round ii,"2 oz avuá prata cachaça, 2 oz bacardi superior rum, 3 oz chateau de montifaud pineau des charentes rose, 2 oz lime juice, 1 oz cannella cinnamon cordial, 2 oz simple syrup",,build & stir. hoshizaki ice.
a gift from zara,"1.5 oz luxardo bitter bianco, .75 oz london dry gin, .75 oz elderflower liqueur, 2 dash citric acid, 4 drops orange flower water, 2.5 oz topo chico mineral water","orange zest, edible flowers",build all ingredients except for the topo chico in a wine glass. fill the glass with cubed ice then top with topo chico by pouring it down a barspoon to incorporate. zest the top with orange and place it in the glass. add edible flowers for aroma and aesthetic.
gin made me do it,"1 oz junipero gin, 1 oz c. drouin calvados selection, 1 oz vermouth del professore, 2 dash angostura bitters, 1 dash st. george absinthe",fresh fennel flowers,"build all ingredients in a mixing glass, add ice and stir. strain into a chilled martini glass and garnish with fresh fennel flowers."
clearly bitter,".75 oz luxardo bitter bianco, 1 oz junipero gin, .75 oz dry vermouth, .5 oz curacao, 2 dash rhubarb bitters",grapefruit twist,build all ingredients in a mixing glass. stir with ice and strain into coupe. garnish with grapefruit peel.
short round,"5 oz bacardi superior rum, 4 oz chateau de montifaud pineau des charentes blanc, 3.5 oz lemon juice, 3.5 oz velvet falernum","seasonal fruit, citrus wheels","build all ingredients in a punch bowl and add ice, stir gently. garnish with seasonal fruit and citrus wheels."
ypioca yellow card,"1.5 oz ypioca brasilizar cachaca prata reserva especial, .5 oz king's ginger liqueur, 1 oz pineapple juice, .5 oz simple syrup, 2 oz coconut water, 1 fill soda water",pineapple leaf,build all into highball. fill with ice. top with soda water. place pineapple leaf vertically in the glass.
buzzard's bay,"2 part no.3 london dry gin, .5 part real cranberry juice, .25 part luxardo fernet, .5 part lime juice, 1.5 part puer black tea",top with brine foam (optional),build and pour in punch bowl over large ice block.
kick the pigeon," oz pink pigeon rum,  oz st. germaine elderflower liqueur,  oz lemon ,  oz vanilla syrup,  oz prosecco",,build and serve in a champagne flute.
croatia firing squad,"1 oz luxardo bitter bianco, 1 oz lillet blanc, 1 oz no.3 london dry gin, .5 oz rose wine",rose petal,"build cocktail in glass, add ice and stir. garnish with rose petal."
the king's ginger summer cup,"1 oz king's ginger liqueur, 1.5 oz cranberry juice, 1.5 oz fever-tree lemonade","lemon wheel, strawberry",build in a glass over ice. add lemon wheels and strawberries. finish with a splash of fresh lemon or top up with some sparkling wine. this drink can also be made in jugs or punch bowls.
pink pigeon punch,"7 oz pink pigeon rum, 1 oz agave syrup, 7 oz watermelon, 2  lemon juice,  top ginger beer",,"build in a large pitcher or punchbowl. combine pink pigeon rum, juice from 2 lemons and agave. blend 7 oz. of fresh watermelon in a blender and puree to mixture. add a generous amount of ice and stir. top with ginger beer. ladle or pour into coupe glasses."
kentucky garrigue,"1.5 oz wild turkey 101 bourbon, .75 oz strawberry, black pepper balsamic shrub*, .75 oz luxardo sangue morlacco cherry liqueur, 1 oz fever-tree tonic water",pickled strawberry or fresh strawberry,"build in a mixing glass and add ice. slowly pour back and forth between two tins, about 4-6 times. then dump the whole cocktail into a fizz or collins glass."
bitter valencia,".75 oz luxardo bitter bianco, .75 oz gin, .75 oz clarified milk*, 2 dash orange bitters, 4 drops vanilla",orange twist,"build in a mixing glass. add ice. stir to dilute. strain into a nick & nora glass. garnish with an orange twist.

*clarified milk:
-- 1 c whole milk
-- .5 oz lemon juice

heat milk to just before a simmer, then add lemon juice. lightly stir to break the solid from the whey. let chill for 5 mins to allow the solids to properly separate. coffee strain twice for clarity."
chilcano (variation),"1.25 oz barsol primero quebranta pisco, .25 oz king's ginger liqueur, .5 oz fresh lime juice, .25 oz agave nectar, 3-4 drops cranberry bitters, 4 oz ginger beer",lime wedge,"build in an ice filled 14 oz beer glass, add barsol pisco, ginger liqueur, fresh lime juice, and agave nectar. roll into a boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime."
little ground tapper,"2 oz h by hine, .25 oz small hand foods pineapple gum syrup, 1 bsp luxardo maraschino liqueur, 2 dash angostura bitters",orange peel,build in an old fashioned glass over ice. garnish with orange peel.
prince of humbugs,"2 oz hirsch small batch reserve bourbon, .75 oz luxardo bitter, .5 oz cold blue bottle coffee, .25 oz luxardo anisette, 2 dash peychaud's bitters",orange peel,build in collins glass. top with soda. orange peel.
the big picture,"1.5 oz tempus fugit alessio vino chinato, 1.5 oz fig-infused c. drouin calvados selection, .5 oz lemon, .25 oz simple syrup","lemon wheel, dried fig",build in glass. add crushed ice and swizzle. top with more crushed ice. dash pepita tincture on top for aromatics. garnish with lemon wheel and dried fig.
the king's squeeze,"35 ml king's ginger liqueur, 125 ml fever-tree bitter lemon",lime squeeze,"build in ice-filled tall glass, garnish with a squeeze of lime."
english harbour colada,"2 oz english harbour rum 5 yo, 2 oz fresh squeezed pineapple juice, 2 oz fresh coconut water","pineapple wedge, lime wheel",build in old fashioned glass over ice.
rita's song,"2 oz nikka whisky taketsuru pure malt 12 yo, .5 oz 15 yo sherry, 2 dashes dr. adam's boker's bitters, .25 oz simple syrup",,"build in old fashioned glass, stir and serve over large ice cube."
le femme nikita,"2 oz nikka whisky taketsuru pure malt 12 yo, .25 oz rich cane syrup, 2 dash bittermens xocolatl mole bitters, 2 dash cinnamon bitters",orange peel,build in rocks glass. use cylinder ice cube.
1880's americana,"2 oz hirsch small batch reserve bourbon, 10 ml amer picon, 10 ml house cola syrup",cola candied orange peel,build over ice in old fashioned glass.
luxardo maraschino simple spritz,".5 oz luxardo maraschino liqueur, .5 oz squeeze of lime , 3 oz italian sparkling water","lime twist, luxardo cherry","build over ice, stir lightly, and garnish with a lime twist and a luxardo cherry."
aperitivo spritz,"2 oz luxardo aperitivo, 3 oz prosecco, 1 splash sparkling water","orange, luxardo cherry","build over ice, stir lightly, and garnish with an orange peel or slice and luxardo cherry."
la chiara,"1 oz luxardo bitter bianco, 1 oz barsol primero quebranta pisco, 2 oz fever-tree indian tonic, 1 dash luxardo maraschino liqueur",lemon twist,build spirits in a tall glass over clear ice. top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.
luxardo ice cream float,"1 oz luxardo cherry syrup (from jar of cherries), 1 scoop vanilla ice cream,  top soda water",luxardo cherry,"build syrup and ice cream in a lowball cocktail glass, and top with soda water. serve with a metal straw, a spoon, and garnish with a luxardo maraschino cherry."
negroni,"1 oz no.3 london dry gin, 1 oz campari, 1 oz martini & rossi sweet vermouth",orange slice,build the cocktail in a mixing glass. stir for about 15 seconds and then strain over ice into a old fashioned glass.
nellie fer' toddy,"1 oz blended scotch, 1 oz king's ginger liqueur, .5 oz the genuine curacao liqueur orange, .75 oz fresh lemon juice,  top hot water, 1 dash peychaud's bitters",half orange wheel,build then pour into a pre-heated irish coffee glass or mug. top with hot water. garnish with the orange slice and add a dash of peychaud's bitters.
